title,intro,url,rating,star,star_time,comment,
商海通牒,2011 / 美国 / 剧情 / J·C·尚多尔 / 凯文·史派西 保罗·贝坦尼,https://movie.douban.com/subject/4888853/,7.9,3,2019.03.26 《商海通牒》🌟🌟🌟群戏👍,,
大而不倒,2011 / 美国 / 剧情 传记 历史 / 柯蒂斯·汉森 / 詹姆斯·伍兹 约翰·赫德,https://movie.douban.com/subject/6013501/,8.3,4,2019.03.26 《大而不倒》🌟🌟🌟🌟监管者视角下的GFC。,,
监守自盗,2010 / 美国 / 犯罪 纪录片 / 查尔斯·弗格森 / 马特·达蒙 Gylfi Zoega,https://movie.douban.com/subject/4843480/,8.8,4,2019.03.26 《监守自盗》🌟🌟🌟🌟‘It is a Wall Street government.’,,
一条狗的回家路,2019 / 中国大陆 美国 / 剧情 冒险 / 查尔斯·马丁·史密斯 / 艾什莉·贾德 乔纳·豪尔-金,https://movie.douban.com/subject/27193043/,6.9,4,2019.03.20 《一条狗的回家路》🌟🌟🌟🌟过于幸运的回家路。然而本狗党就是吃这一套T_T 我的乐乐也曾经这样跌跌撞撞找回家😭,,
一个明星的诞生,2018 / 美国 / 剧情 爱情 音乐 / 布莱德利·库珀 /  布莱德利·库珀,https://movie.douban.com/subject/4058933/,7.4,3,2019.03.20 《一个明星的诞生》🌟🌟🌟赞OST。,,
傲骨贤妻 第五季,2013 / 美国 / 剧情 悬疑 犯罪 / 罗伯特·金 / 朱丽安娜· 玛格丽丝 克里斯·诺斯,https://movie.douban.com/subject/23055586/,9.3,5,2019.03.13 《傲骨贤妻第五季》🌟🌟🌟🌟🌟百感交集的一季。为Will的荒诞离世；为Diane和K姐的那句‘I liked him’；为Cary。,,
傲骨贤妻 第四季,2012 / 美国 / 剧情 / 布鲁克·肯尼迪 / 朱丽安娜· 玛格丽丝 艾伦·卡明,https://movie.douban.com/subject/10549253/,9.2,4,2019.03.13 《傲骨贤妻第四季》🌟🌟🌟🌟喜欢K姐。,,
黑镜 第二季,2013 / 英国 / 剧情 科幻 惊悚 / 欧文·哈里斯 / 海莉·阿特维尔 多姆纳尔·格里森,https://movie.douban.com/subject/11502153/,9.2,4,2019.03.13 《黑镜第二季》🌟🌟🌟🌟第一集看到心碎。,,
法律与秩序：特殊受害者 第一季,1999 / 美国 / 剧情 犯罪 悬疑 / 让·德塞贡扎克 / 克里斯托弗·米洛尼 玛莉丝卡·哈吉塔,https://movie.douban.com/subject/1428365/,8.8,4,2019.03.13 《法律与秩序：特殊受害者第一季》🌟🌟🌟🌟江湖险恶。,,
摩登家庭 第四季,2012 / 美国 / 喜剧 家庭 / 斯蒂文·莱维坦 / 艾德·奥尼尔 索菲娅·维加拉,https://movie.douban.com/subject/10748074/,9.6,4,2019.03.13 《摩登家庭第四季》🌟🌟🌟🌟成长和告别。,,
摩登家庭  第三季,2011 / 美国 / 喜剧 家庭 / 杰森·维纳 / 艾德·奥尼尔 索菲娅·维加拉,https://movie.douban.com/subject/6729121/,9.6,5,2019.03.13 《摩登家庭第三季》🌟🌟🌟🌟🌟Lily可爱！,,
摩登家庭 第一季,2009 / 美国 / 喜剧 家庭 / Jason Winer / 阿芮尔·温特 艾德·奥尼尔,https://movie.douban.com/subject/3754382/,9.5,5,2019.03.13 《摩登家庭第一季》🌟🌟🌟🌟🌟讲英语的Gloria就是学了四年西语后再讲英语的我🤣,,
摩登家庭 第二季,2010 / 美国 / 喜剧 家庭 / Jason Winer / 艾德·奥尼尔 索菲娅·维加拉,https://movie.douban.com/subject/4904662/,9.6,5,2019.03.13 《摩登家庭第一季》🌟🌟🌟🌟🌟喜欢小正太时期的Luke。,,
黑镜 第一季,2011 / 英国 / 剧情 科幻 惊悚 / Otto Bathurst 尤洛斯·林 Brian Welsh / 罗里·金尼尔 鲁伯特·艾弗雷特,https://movie.douban.com/subject/7054120/,9.4,5,2019.03.13 《黑镜第一季》🌟🌟🌟🌟🌟每一集都看得目瞪口呆。,,
恰同学少年,2007 / 中国大陆 / 剧情 传记 历史 / 龚若飞 嘉娜·沙哈提 / 谷智鑫 钱枫,https://movie.douban.com/subject/2148367/,9.0,4,2019.03.10 《恰同学少年》🌟🌟🌟🌟风华正茂。,,
